Title,Description,URL,Published At,Source
Why an Offline Nuclear Reactor Led to Thousands of Hospital Appointments Being Canceled,Radioisotopes are a vital resource for imaging patients’ organs and tumors—but these unstable elements also suffer from an unstable supply chain.,https://www.wired.com/story/why-an-offline-nuclear-reactor-led-to-thousands-of-hospital-appointments-being-cancelled/,2024-11-27T11:27:10Z,Wired
[Removed],[Removed],https://removed.com,2024-12-03T16:29:08Z,[Removed]
"Tim Cook at CEO Summit in China to Talk Supply Chain, Trade Issues","Apple CEO Tim Cook on Monday made his third visit to China this year, ahead of a five-day supply chain conference with Chinese Premier Li Qiang and other corporate leaders (via Bloomberg).





The Apple chief joined more than 20 global business leaders in me…",https://www.macrumors.com/2024/11/25/tim-cook-visits-china-third-time-this-year/,2024-11-25T12:51:15Z,MacRumors
Compromising OpenWrt Supply Chain,"Introduction Hello, I’m RyotaK (@ryotkak ), a security engineer at Flatt Security Inc.
A few days ago, I was upgrading my home lab network, and I decided to upgrade the OpenWrt on my router.1 After accessing the LuCI, which is the web interface of OpenWrt, I …",https://flatt.tech/research/posts/compromising-openwrt-supply-chain-sha256-collision/,2024-12-09T04:36:09Z,Flatt.tech
Stellantis CEO Carlos Tavares resigns from struggling carmaker,Carlos Tavares is stepping down as Chief Executive Officer of Stellantis following a sharp decline in the carmaker’s sales. A new CEO will be appointed in 2025.,https://www.theverge.com/2024/12/2/24310921/stellantis-ceo-carlos-tavares-resigns-effective-immediately,2024-12-02T13:34:51Z,The Verge
"Homebase collapses into administration with 2,000 jobs at risk","Homebase enters administration, but The Range buys up to 70 stores and the brand.",https://www.bbc.com/news/articles/c624nzepd59o,2024-11-13T17:09:37Z,BBC News
Williams-Sonoma says rivals who lean into discounts are training shoppers to 'wait for that promotion',Williams-Sonoma CEO Laura Alber said the chain has reduced the number of discounts it offers since they can push customers to delay purchases.,https://www.businessinsider.com/williams-sonoma-ceo-says-discounts-train-customers-to-delay-purchases-2024-11,2024-11-21T17:24:56Z,Business Insider
NVIDIA Corporation (NVDA) Supply Chain Boosted by Vishay’s Strong Orders for AI Servers and RTX 50 Series,"We recently compiled a list of the 15 AI Stocks on Wall Street’s Radar. In this article, we are going to take a look at where NVIDIA Corporation (NASDAQ:NVDA...",https://finance.yahoo.com/news/nvidia-corporation-nvda-supply-chain-195023718.html,2024-11-28T19:50:23Z,Yahoo Entertainment
8 Questions to Ask About Your Globalization Strategy Right Now,Donald Trump’s victory in the U.S. presidential election is just the latest reason to rethink your approach.,https://hbr.org/2024/11/8-questions-to-ask-about-your-globalization-strategy-right-now,2024-11-19T13:05:12Z,Harvard Business Review
Nvidia's Blackwell era will test the world's most valuable company in a highwire act,"Nvidia needs to provide performance leaps and navigate supply-side pressures to meet high expectations for its next-gen AI chip, Blackwell.",https://www.businessinsider.com/nvidia-blackwell-ai-chip-sales-earnings-jensen-huang-2024-11,2024-11-21T14:23:10Z,Business Insider
The best board games we played in 2024,"The world of board gaming enjoyed a bit of a respite in 2024. Supply chain issues and shipping costs stabilized for the most part, giving developers and publishers an increased feeling of certainty… up to a point. Meanwhile, both direct-to-retail and crowdfun…",https://www.polygon.com/best-of-the-year/492279/best-board-games-2024,2024-12-11T22:13:11Z,Polygon
PlugBug Travel 120 With Find My,"Reduce clutter and increase convenience with Twelve South’s PlugBug 120W Travel power supply. Four USB C ports can support any device, including your laptop, simultaneously. It’s the first power supply with Apple …",http://coolhunting.com/buy/plugbug-travel-120-with-find-my/,2024-12-04T05:15:00Z,Cool Hunting
Chinese chip firms say they can withstand new US export curbs,Chinese chip companies targeted by Washington with fresh export controls have vowed to speed up supply chain localisation and said they would be able to...,https://ca.finance.yahoo.com/news/chinese-chip-firms-withstand-us-073606233.html,2024-12-03T07:36:06Z,Yahoo Entertainment
Leaks Show Samsung Galaxy S25 Ultra Looking a Lot Like an iPhone,"The Samsung Galaxy S25 features flat sides and rounded corners, just like the Pixel 9, and just like the iPhone.",https://gizmodo.com/leaks-show-samsung-galaxy-s25-ultra-looking-a-lot-like-an-iphone-2000527575,2024-11-21T15:12:25Z,Gizmodo.com
Supply chain management vendor Blue Yonder succumbs to ransomware,"And it looks like major UK retailers that rely on it are feeling the pinch
US-based supply chain SaaS vendor Blue Yonder has revealed a service disruption caused by ransomware, and its customers are reportedly struggling to get goods onto shelves as a result.…",https://www.theregister.com/2024/11/26/blue_yonder_ransomware/,2024-11-26T01:27:10Z,Theregister.com
OpenWrt orders router firmware updates after supply chain attack scare,"A couple of bugs lead to a potentially bad time
OpenWrt users should upgrade their images to the same version to protect themselves from a possible supply chain attack reported to the open source Wi-Fi router project last week.…<!--#include virtual='/data_cen…",https://www.theregister.com/2024/12/09/openwrt_firmware_vulnerabilities/,2024-12-09T14:04:12Z,Theregister.com
Spotify's Car Thing Accessory is Officially Dead,"Spotify today shut down all Car Thing accessories, several months after announcing plans to discontinue the product. As of this week, Car Thing is no longer functional and will not work with the Spotify streaming service.





Car Thing owners who power on th…",https://www.macrumors.com/2024/12/10/spotify-car-thing-officially-dead/,2024-12-11T00:33:00Z,MacRumors
Supply chain report says iPhone SE 4 will launch in March 2025,"Analysts from Barclays bank claim to have confirmed that the iPhone SE 4 will in March 2025 as previously expected.An iPhone 14, the design of which the iPhone SE 4 could be based on. The prediction of a March date is far from new. However, this time Barclays…",https://appleinsider.com/articles/24/11/20/supply-chain-report-says-iphone-se-4-will-launch-in-march-2025,2024-11-20T11:35:19Z,AppleInsider
Tim Cook heads to China for supply chain talks with premier,"Apple CEO Tim Cook has returned to China for discussions with premier Li Qiang, in discussions to aid both the global supply chain and the Chinese economy.Apple CEO Tim Cook - Image credit: AppleApple's leadership frequently makes visits to China and other re…",https://appleinsider.com/articles/24/11/25/tim-cook-heads-to-china-for-supply-chain-pow-wow-with-premier,2024-11-25T14:24:10Z,AppleInsider
"TSMC 2nm Chip Production Hits 60% Yield, on Track for iPhone 18 Pro","TSMC has achieved better-than-expected results in trial production of its 2-nanometer chip technology, with yield rates exceeding 60%, according to Taiwanese supply chain sources (via Liberty Times Net). The news suggests the company is well-positioned to beg…",https://www.macrumors.com/2024/12/06/tsmc-2nm-chip-production-on-track-iphone-18-pro/,2024-12-06T13:55:23Z,MacRumors
Apple Again Rumored to Launch Smart Home Camera Alongside HomePod With Display,"Apple supply chain analyst Ming-Chi Kuo today again said that Apple plans to release its own HomeKit-enabled wireless smart home camera in 2026.



Logitech Circle View camera

In a blog post about Apple's smart home plans, Kuo said the camera will have tight…",https://www.macrumors.com/2024/12/04/apple-smart-home-camera-rumor/,2024-12-04T15:41:17Z,MacRumors
CEO says his airline's all-Airbus fleet is a 'better alternative' as rivals struggle with Boeing blues and engine issues,"EasyJet delivered a record-breaking summer, bucking the broader trend of stuttering growth among European budget airline rivals.",https://www.businessinsider.com/easyjet-posts-record-profits-avoids-boeing-blues-and-engine-issues-2024-11,2024-11-27T10:50:57Z,Business Insider
iPhone SE 4 is coming soon; here are the latest rumors,"Apple is reportedly set to launch the iPhone SE 4 in just a few short months. The update will bring a dramatic overhaul to Apple’s most affordable iPhone. 



A new supply chain report this week has some additional details on what to expect from the iPhone SE…",https://9to5mac.com/2024/12/09/iphone-se-4-camera-rumors/,2024-12-09T13:18:51Z,9to5Mac
Apple's Investment in the UK Exceeds £18 Billion,"Apple today announced that it has invested more than £18 billion in the United Kingdom over the last five years, plus it has doubled the number of engineering teams in the country.





Apple says that it supports 550,000 jobs in the UK through direct employm…",https://www.macrumors.com/2024/12/10/apples-investment-in-the-uk-exceeds-18-billion/,2024-12-10T21:12:47Z,MacRumors
